systemid,pref,city,url_pc
Chiba_Tohnosho,千葉県,香取郡東庄町,https://www.town.tohnosho.chiba.jp/soshiki/machikominkan/gyomu/tonoshomachinoshisetsu/798.html
Chiba_Tomisato,千葉県,富里市,https://www.library.tomisato.chiba.jp/
Chiba_Urayasu,千葉県,浦安市,http://library.city.urayasu.chiba.jp/
Chiba_Yachimata,千葉県,八街市,http://www.library.yachimata.chiba.jp/
Chiba_Yachiyo,千葉県,八千代市,http://www.library.yachiyo.chiba.jp/
Chiba_Yokoshiba,千葉県,山武郡横芝光町,http://www.library.yokoshibahikari.chiba.jp/
Chiba_Yotsukaido,千葉県,四街道市,http://www.library.yotsukaido.chiba.jp/
Tokyo_Adachi,東京都,足立区,http://www.city.adachi.tokyo.jp/toshokan/shisetsu/toshokan/006.html
Tokyo_Akiruno,東京都,あきる野市,https://www.library.akiruno.tokyo.jp/TOSHOW/asp/index.aspx
Tokyo_Akishima,東京都,昭島市,http://www.library.akishima.tokyo.jp/
Tokyo_Arakawa,東京都,荒川区,https://www.library.city.arakawa.tokyo.jp/
Tokyo_Bunkyo,東京都,文京区,http://www.lib.city.bunkyo.tokyo.jp/
Tokyo_Chiyoda,東京都,千代田区,http://www.library.chiyoda.tokyo.jp/
Tokyo_Chofu,東京都,調布市,https://www.lib.city.chofu.tokyo.jp/
Tokyo_Chuo,東京都,中央区,http://www.library.city.chuo.tokyo.jp
Tokyo_Edogawa,東京都,江戸川区,https://www.city.edogawa.tokyo.jp/e026/kuseijoho/gaiyo/shisetsuguide/bunya/gakko/toshokan.html
Tokyo_Fuchu,東京都,府中市,https://library.city.fuchu.tokyo.jp/
Tokyo_Fussa,東京都,福生市,http://www.lib.fussa.tokyo.jp/
Tokyo_Hachijo,東京都,八丈島八丈町,http://www.town.hachijo.tokyo.jp/kakuka/kyouiku/library/tosyo-top.html
Tokyo_Hachioji,東京都,八王子市,https://www.library.city.hachioji.tokyo.jp/index.html
Tokyo_Hamura,東京都,羽村市,https://www.hamura-library.tokyo.jp/
Tokyo_Higashikurume,東京都,東久留米市,http://www.city.higashikurume.lg.jp/shisetsu/shikanren/danjo/1002042.html
Tokyo_Higashimurayama,東京都,東村山市,http://www.lib.city.higashimurayama.tokyo.jp/TOSHOW/html/hagiyama_lib.html
Tokyo_Higashiyamato,東京都,東大和市,http://www.lib.higashiyamato.tokyo.jp/
Tokyo_Hino,東京都,日野市,https://www.lib.city.hino.lg.jp/
Tokyo_Hinode,東京都,西多摩郡日の出町,https://www.town.hinode.tokyo.jp/category/12-0-0-0-0.html
Tokyo_Inagi,東京都,稲城市,http://www.library.inagi.tokyo.jp/
Tokyo_Itabashi,東京都,板橋区,http://lib.trc-itabashi.jp/
Tokyo_Katsushika,東京都,葛飾区,https://www.lib.city.katsushika.lg.jp/
Tokyo_Kita,東京都,北区,https://www.library.city.kita.tokyo.jp/
Tokyo_Kiyose,東京都,清瀬市,http://www.library.kiyose.tokyo.jp/
Tokyo_Kodaira,東京都,小平市,http://library.kodaira.ed.jp/
Tokyo_Koganei,東京都,小金井市,http://www.library.koganei.tokyo.jp/
Tokyo_Kokubunji,東京都,国分寺市,http://library.kokubunji.ed.jp/
Tokyo_Komae,東京都,狛江市,http://www.library.komae.tokyo.jp/
Tokyo_Koto,東京都,江東区,https://www.koto-lib.tokyo.jp/
Tokyo_Kunitachi,東京都,国立市,https://www.library-kunitachi.jp/
Tokyo_Machida,東京都,町田市,https://www.library.city.machida.tokyo.jp/
Tokyo_Meguro,東京都,目黒区,http://www.meguro-library.jp/
Tokyo_Minato,東京都,港区,http://www.lib.city.minato.tokyo.jp/j/azabu.cgi
Tokyo_Mitaka,東京都,三鷹市,http://www.library.mitaka.tokyo.jp/
Tokyo_Mizuho,東京都,西多摩郡瑞穂町,https://www.library.mizuho.tokyo.jp/
Tokyo_Musashimurayama,東京都,武蔵村山市,http://www.library.musashimurayama.tokyo.jp/index.html
Tokyo_Musashino,東京都,武蔵野市,https://www.library.musashino.tokyo.jp/
Tokyo_Nakano,東京都,中野区,https://library.city.tokyo-nakano.lg.jp/
Tokyo_NDL,東京都,千代田区,http://www.ndl.go.jp/
Tokyo_Nerima,東京都,練馬区,https://www.city.nerima.tokyo.jp/shisetsu/bunka/lib/index.html
Tokyo_Niijima,東京都,新島村,https://www.niijima.com/facility/community/juumincenter.html#
Tokyo_Nishitokyo,東京都,西東京市,http://www.library.city.nishitokyo.lg.jp/
Tokyo_Niye,東京都,渋谷区,https://www.niye.go.jp/research/jyouhoucenter/
Tokyo_Okutama,東京都,西多摩郡奥多摩町,https://www.town.okutama.tokyo.jp/gyosei/8/johokanri/denshigyoseisurvice/1263.html
Tokyo_Ome,東京都,青梅市,https://www.library.ome.tokyo.jp/
Tokyo_Ota,東京都,大田区,http://www.lib.city.ota.tokyo.jp/
Tokyo_Pref,東京都,国分寺市,https://www.library.metro.tokyo.lg.jp/
Tokyo_Setagaya,東京都,世田谷区,https://libweb.city.setagaya.tokyo.jp/
Tokyo_Shibuya,東京都,渋谷区,https://www.lib.city.shibuya.tokyo.jp/
Tokyo_Shinagawa,東京都,品川区,https://library.city.shinagawa.tokyo.jp/
Tokyo_Shinjuku,東京都,新宿区,https://www.library.shinjuku.tokyo.jp/
Tokyo_Suginami,東京都,杉並区,https://www.library.city.suginami.tokyo.jp/
Tokyo_Sumida,東京都,墨田区,http://www.library.sumida.tokyo.jp/
Tokyo_Tachikawa,東京都,立川市,https://www.library.tachikawa.tokyo.jp/
Tokyo_Taito,東京都,台東区,https://www.city.taito.lg.jp/library/index.html
Tokyo_Tama,東京都,多摩市,http://www.library.tama.tokyo.jp/
Tokyo_Tenji,東京都,新宿区,http://www.nittento.or.jp/
Tokyo_Toshima,東京都,豊島区,https://www.library.toshima.tokyo.jp/contents?pid=41
